# Input,ChemicalName,ChemicalId,CasRN,GeneSymbol,GeneId,Organism,OrganismId,PubMedIds
13463-67-7,titanium dioxide,C009495,13463-67-7,IGFLR1,79713,Mus musculus,10090,27760801
13463-67-7,titanium dioxide,C009495,13463-67-7,IGG-2A,367586,Rattus norvegicus,10116,28181387
13463-67-7,titanium dioxide,C009495,13463-67-7,IGH,3492,Mus musculus,10090,27760801
13463-67-7,titanium dioxide,C009495,13463-67-7,IGH-6,299357,Mus musculus,10090,27760801
13463-67-7,titanium dioxide,C009495,13463-67-7,IGH-6,299357,Rattus norvegicus,10116,30012374
13463-67-7,titanium dioxide,C009495,13463-67-7,IGHA,238447,Rattus norvegicus,10116,28181387
13463-67-7,titanium dioxide,C009495,13463-67-7,IGHG,380794,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,IGHG1,3500,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,IGHG3,3502,Mus musculus,10090,23557971|27760801
13463-67-7,titanium dioxide,C009495,13463-67-7,IGHM,3507,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,IGHV14-4,629826,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,IGHV1-47,629915,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,IGHV1-56,382695,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,IGHV1-62-1,668544,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,IGHV1-66,380824,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,IGHV1-72,619916,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,IGHV1-77,619994,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,IGH-VJ558,16061,Mus musculus,10090,27760801
13463-67-7,titanium dioxide,C009495,13463-67-7,IGK-V1,16081,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,IGKV1-132,243423,Mus musculus,10090,23557971
